Weekly Deaths,Weekly Cases,PercentOneDose,PercentCompleted,PercentFirstBooster,Administered,PeopleOneOrMore,PercentSeniorBooster
5212.0,192444.0,77.0,65.9,45.5,564681190,255687781,1.4
4206.0,193046.0,77.1,66.0,45.6,565859776,256006600,1.5
3994.0,194600.0,77.2,66.1,45.8,569152237,256434232,4.4
3859.0,226512.0,77.4,66.3,46.0,572724126,256841798,7.8
3047.0,291769.0,77.5,66.4,46.2,575844774,257214954,10.7
2970.0,367353.0,77.6,66.5,46.3,578663106,257555649,13.3
2805.0,450185.0,77.7,66.6,46.5,581323743,257880459,15.6
2335.0,588378.0,77.8,66.6,46.6,583724427,258183186,17.6
4154.0,696358.0,77.9,66.7,46.7,586228929,258502575,19.7
2659.0,771946.0,78.0,66.8,46.9,588897654,258836105,21.8
2127.0,715689.0,78.0,66.9,47.1,590888302,259097949,23.3
2346.0,771661.0,78.1,67.0,47.2,592960113,259383041,24.7
2173.0,725592.0,78.2,67.0,47.4,594740029,259646173,25.9
2029.0,693800.0,78.3,67.1,47.5,596300623,259897923,26.8
2557.0,771796.0,78.4,67.1,47.6,597939105,260334845,27.7
1700.0,779723.0,78.5,67.2,47.7,599205316,260674553,28.3
3443.0,865597.0,78.6,67.2,47.9,600842459,261075257,29.2
2813.0,905366.0,78.8,67.3,48.0,603011558,261500389,30.5
3170.0,924235.0,78.9,67.4,48.1,605054340,261898378,31.7
3554.0,839467.0,79.0,67.5,48.2,606685788,262245189,32.5
3934.0,772447.0,79.1,67.5,48.3,608072964,262563600,33.1
3041.0,694190.0,79.2,67.6,48.4,609288827,262854048,33.6
3247.0,651675.0,79.2,67.6,48.5,610352708,263115912,34.0
4052.0,616637.0,79.3,67.7,48.5,611265689,263349133,34.3
2972.0,525650.0,79.4,67.7,48.6,611851100,263504116,34.4
3230.0,471611.0,79.5,67.8,48.6,614686935,263826614,35.1
3158.0,395071.0,79.6,67.9,48.7,618116882,264176559,36.0
2974.0,342162.0,79.7,68.0,48.8,622068616,264564363,37.1
2994.0,309887.0,79.8,68.1,48.9,626055729,264942526,38.3
2582.0,265175.0,79.9,68.2,49.1,630145435,265329365,39.6
,,80.0,68.2,49.1,632905664,265591330,40.6
